Data,Zona,Bairro,Ponto,Status,Sentido,Referencia,HorarioInicio,HorarioFinal,Logradouro
2023-09-02,Zona Sul,Santo Amaro,1,Inativo Intransitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,23:51:00,01:56:00,AV SANTO AMARO
2023-09-30,Zona Sul,Santo Amaro,1,Inativo Transitável,CENTRO/BAIRRO,AV PROF VICENTE RAO,23:07:00,00:36:00,AV STO AMARO
2023-10-01,Zona Sul,Santo Amaro,2,Inativo Transitável,AMBOS,AV PROF VICENTE RAO,10:13:00,14:46:00,AV STO AMARO
2023-10-01,Zona Sul,Santo Amaro,2,Inativo Transitável,BAIRRO/CENTRO,R CERQUEIRA CESAR,14:23:00,18:17:00,R PDE JOSE DE ANCHIETA
2023-10-01,Zona Sul,Ipiranga,1,Inativo Transitável,AMBOS,AV DO ESTADO,12:04:00,14:59:00,R PRES BATISTA PEREIRA
2023-10-02,Zona Sul,Ipiranga,1,Inativo Transitável,AMBOS,AV DO ESTADO,00:22:00,07:24:00,R PRES BATISTA PEREIRA
2023-10-05,Zona Sul,Capela do Socorro,1,Inativo Transitável,CENTRO/BAIRRO,R DOS MENDES,05:24:00,12:30:00,AV SEN TEOTONIO VILELA
2023-10-05,Zona Sul,Santo Amaro,2,Inativo Transitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,04:15:00,08:13:00,AV STO AMARO
2023-10-05,Zona Sul,Santo Amaro,2,Inativo Transitável,BAIRRO/CENTRO,AV PROF VICENTE RAO,04:54:00,08:14:00,AV STO AMARO
2023-10-05,Zona Sul,Ipiranga,1,Inativo Transitável,BAIRRO/CENTRO,R ALICE DE SOUZA LIMA,05:29:00,09:20:00,AV PRES JOAO GOULART
2023-10-07,Zona Sul,Santo Amaro,1,Inativo Transitável,AMBOS,AV ROQUE PETRONI JUNIOR,15:41:00,21:36:00,AV STO AMARO
2023-10-07,Zona Sul,Jabaquara,1,Inativo Transitável,NAO INFORMADO,TV DOM GIL SANCHES,16:00:00,17:22:00,AV TULIO TEODORO DE CAMPOS
2023-10-08,Zona Sul,Ipiranga,1,Inativo Intransitável,CENTRO/BAIRRO,R PRES COSTA PINTO,19:54:00,21:26:00,R PRES BATISTA PEREIRA
2023-10-09,Zona Sul,Santo Amaro,1,Inativo Transitável,INTERLAGOS/CASTELO,AV INTERLAGOS,06:34:00,06:53:00,AV DAS NACOES UNIDAS
2023-10-12,Zona Sul,Santo Amaro,1,Inativo Transitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,19:30:00,19:56:00,AV STO AMARO
2023-10-27,Zona Sul,Vila Mariana,1,Inativo Intransitável,BAIRRO/CENTRO,AV LAVANDISCA,17:59:00,18:43:00,AV IBIRAPUERA
2023-10-31,Zona Sul,Santo Amaro,1,Inativo Transitável,UNICO,R. ALBERTO GEBARA,16:10:00,16:22:00,R VISCONDE DE CASTRO
2023-10-31,Zona Sul,Vila Mariana,2,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,11:53:00,11:58:00,AV VINTE E TRES DE MAIO
2023-10-31,Zona Sul,Vila Mariana,2,Inativo Intransitável,NAO INFORMADO,AV LAVANDISCA,12:00:00,12:32:00,AV IBIRAPUERA
2023-11-03,Zona Sul,Santo Amaro,1,Inativo Intransitável,AMBOS,AV ROQUE PETRONI JUNIOR,16:45:00,18:04:00,AV STO AMARO
2023-11-15,Zona Sul,Campo Limpo,1,Inativo Intransitável,AMBOS,AL JOSE LOPES DE ALMEIDA,20:21:00,21:07:00,AV ELLIS MAAS
2023-11-15,Zona Sul,M'Boi Mirim,1,Inativo Transitável,BAIRRO/CENTRO,R DANIEL KLEIN,20:22:00,05:45:00,ES M'BOI MIRIM
2023-11-19,Zona Sul,M'Boi Mirim,1,Inativo Transitável,BAIRRO/CENTRO,R DANIEL KLEIN,01:54:00,02:06:00,ES M'BOI MIRIM
2023-11-19,Zona Sul,Santo Amaro,1,Inativo Intransitável,INTERLAGOS/CASTELO,R GURIU,02:37:00,10:23:00,AV DAS NACOES UNIDAS
2023-11-23,Zona Sul,Capela do Socorro,1,Inativo Transitável,CENTRO/BAIRRO,ALTURA DO N. 3411,08:16:00,08:24:00,AV DONA BELMIRA MARIN
2023-11-23,Zona Sul,M'Boi Mirim,3,Inativo Transitável,BAIRRO/CENTRO,ALTURA DO N. 3579,07:46:00,08:52:00,AV JOAO DIAS
2023-11-23,Zona Sul,M'Boi Mirim,3,Inativo Transitável,BAIRRO/CENTRO,R DANIEL KLEIN,07:47:00,09:07:00,ES M'BOI MIRIM
2023-11-23,Zona Sul,M'Boi Mirim,3,Inativo Transitável,BAIRRO/CENTRO,ALTURA DO N. 1725,08:40:00,08:48:00,ES M'BOI MIRIM
2023-11-23,Zona Sul,Santo Amaro,3,Inativo Transitável,AMBOS,AV ROQUE PETRONI JUNIOR,07:56:00,08:45:00,AV STO AMARO
2023-11-23,Zona Sul,Santo Amaro,3,Inativo Transitável,AMBOS,AL STO AMARO,08:22:00,08:45:00,R JOAO ALFREDO
2023-11-23,Zona Sul,Santo Amaro,3,Inativo Transitável,INTERLAGOS/CASTELO,AV OCTALLES MARCONDES FERREIRA,08:22:00,13:06:00,AV DAS NACOES UNIDAS
2023-11-23,Zona Sul,Vila Mariana,2,Inativo Transitável,BAIRRO/CENTRO,AV INDIANOPOLIS,07:37:00,08:28:00,AV IBIRAPUERA
2023-11-23,Zona Sul,Vila Mariana,2,Inativo Transitável,BAIRRO/CENTRO,AV MACUCO,07:39:00,08:29:00,AV IBIRAPUERA
2023-11-27,Zona Sul,Vila Mariana,1,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,18:44:00,19:03:00,AV VINTE E TRES DE MAIO
2023-11-28,Zona Sul,Santo Amaro,1,Inativo Intransitável,BAIRRO/CENTRO,AV ROQUE PETRONI JUNIOR,21:06:00,21:24:00,AV STO AMARO
2023-11-29,Zona Sul,Cidade Ademar,1,Inativo Transitável,CENTRO/BAIRRO,R ARISTIDES NOGUEIRA,01:23:00,02:02:00,ES DO ALVARENGA
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,15:41:00,16:48:00,AV DAS NACOES UNIDAS
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Intransitável,CENTRO/BAIRRO,R ENG ALLYRIO HUGUENEY DE MATTOS,15:47:00,18:55:00,AV INTERLAGOS
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Intransitável,CENTRO/BAIRRO,PC DOM FRANCISCO DE SOUSA,16:00:00,18:24:00,AV VITOR MANZINI
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,16:19:00,19:03:00,AV DAS NACOES UNIDAS
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,16:19:00,17:19:00,AV DAS NACOES UNIDAS
2023-11-29,Zona Sul,Jabaquara,1,Inativo Transitável,MARGINAL/IMIGRANTES,AV PROF ABRAAO DE MORAIS,02:04:00,02:23:00,RV DOS IMIGRANTES
2023-11-29,Zona Sul,Vila Mariana,1,Inativo Transitável,MARGINAL/IMIGRANTES,AC ESQ A RODOVIA DOS IMIGRANTES,02:26:00,04:45:00,AV AFFONSO D'ESCRAGNOLLE TAUNAY
2023-12-08,Zona Sul,Capela do Socorro,1,Inativo Transitável,BAIRRO/CENTRO,R PROF FRANCISCO MARQUES OLIVEIRA JR.,07:31:00,08:54:00,AV CARLOS BARBOSA SANTOS
2023-12-10,Zona Sul,Santo Amaro,1,Inativo Intransitável,AMBOS,R JAIME DE OLIVEIRA SOUZA,23:32:00,23:42:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,AMBOS,R ENG DAGOBERTO SALLES FILHO,16:49:00,19:11:00,AV INTERLAGOS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,16:50:00,18:27:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,CASTELO/INTERLAGOS,R JAIME DE OLIVEIRA SOUZA,17:03:00,18:27:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,19:32:00,19:36:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,19:52:00,20:57:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Vila Mariana,1,Inativo Transitável,AMBOS,R RIBEIRO LACERDA,17:26:00,01:16:00,AV PROF ABRAAO DE MORAIS
2024-01-08,Zona Sul,Santo Amaro,1,Inativo Transitável,AMBOS,VD DOS BANDEIRANTES-DR ANTONIO MARCONDES DE ALMEIDA,15:16:00,17:05:00,AV DOS BANDEIRANTES
2024-01-08,Zona Sul,Vila Mariana,2,Inativo Transitável,BAIRRO/CENTRO,AV JAMARIS,15:28:00,18:35:00,AV IBIRAPUERA
2024-01-08,Zona Sul,Vila Mariana,2,Inativo Transitável,AMBOS,AV ANTONIO J. DE MOURA ANDRADE,15:41:00,17:34:00,AV REPUBLICA DO LIBANO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,17:31:00,19:20:00,AV VINTE E TRES DE MAIO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,AV ANTONIO J. DE MOURA ANDRADE,17:53:00,19:20:00,AV REPUBLICA DO LIBANO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Transitável,NAO INFORMADO,R GROENLANDIA,17:55:00,20:50:00,AV BRIG LUIS ANTONIO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Transitável,BAIRRO/CENTRO,AV MOEMA,18:02:00,19:36:00,AV IBIRAPUERA
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Intransitável,DIADEMA/MARGINAL,R STO ARCADIO,17:42:00,18:08:00,AV ROQUE PETRONI JUNIOR
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Intransitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,18:16:00,20:34:00,AV STO AMARO
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Transitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,21:45:00,23:12:00,AV DAS NACOES UNIDAS
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,23:08:00,01:42:00,AV DAS NACOES UNIDAS
2024-01-10,Zona Sul,Vila Mariana,1,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,21:31:00,23:26:00,AV VINTE E TRES DE MAIO
2024-01-12,Zona Sul,Capela do Socorro,1,Inativo Intransitável,CENTRO/BAIRRO,ALTURA N. 752,18:15:00,19:26:00,AV GUARAPIRANGA
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,18:09:00,18:57:00,AV SANTO AMARO
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,AMBOS,R DOS BRASOES,18:46:00,18:49:00,AV SANTO AMARO
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,19:58:00,21:32:00,AV DAS NACOES UNIDAS
2024-01-19,Zona Sul,Santo Amaro,2,Inativo Intransitável,BAIRRO/CENTRO,R DOS BRASOES,20:06:00,20:22:00,AV STO AMARO
2024-01-19,Zona Sul,Santo Amaro,2,Inativo Transitável,INTERLAGOS/CASTELO,AV JOAO DORIA,20:20:00,22:00:00,AV DAS NACOES UNIDAS
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,AMBOS,AV DO ESTADO,19:13:00,19:24:00,R PRES BATISTA PEREIRA
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,IMIGRANTES/ANCHIETA,R ARMANDO MATTAR,20:12:00,22:00:00,AV PRES TANCREDO NEVES
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,BAIRRO/CENTRO,AV DO ESTADO,20:13:00,20:57:00,R PRES BATISTA PEREIRA
2024-01-19,Zona Sul,Jabaquara,1,Inativo Intransitável,AMBOS,R PROF FRANCISCO EMYDIO DA FONSECA TELLES,18:20:00,22:00:00,R ALBA
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,PC LEONOR KAUPA,18:24:00,18:57:00,R RIBEIRO LACERDA
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Intransitável,AEROPORTO/SANTANA,AL UANANA,18:34:00,18:57:00,AV RUBEN BERTA
