,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
0,21.5,87.0,5.9,2.3,0.0,0.0
1,21.1,87.0,4.6,2.1,0.0,0.0
2,20.7,90.0,4.4,1.6,0.0,0.0
3,20.5,92.0,4.0,1.7,0.0,0.0
4,20.7,93.0,4.2,1.9,0.0,0.0
5,20.1,94.0,4.4,1.5,0.0,0.0
6,20.3,94.0,4.0,1.8,0.0,0.0
7,19.9,95.0,4.1,1.4,0.0,0.0
8,19.9,95.0,3.1,0.9,0.0,0.0
9,20.7,89.0,2.1,1.1,0.0,0.0
10,21.7,83.0,4.0,1.8,0.0,0.0
11,23.3,78.0,4.7,2.6,0.0,1.0
12,25.0,70.0,4.6,1.3,0.0,1.0
13,26.9,63.0,4.0,1.3,0.0,0.0
14,27.4,60.0,5.5,1.5,0.0,2.0
15,29.7,53.0,5.9,1.5,0.0,0.0
16,28.9,57.0,3.8,1.6,0.0,0.0
17,26.4,77.0,7.9,4.1,0.0,1.0
18,23.1,92.0,11.1,4.4,0.0,0.0
19,22.7,90.0,9.5,3.8,0.0,0.0
20,22.6,89.0,7.3,3.5,0.0,0.0
21,22.7,88.0,7.6,2.7,0.0,0.0
22,22.6,88.0,5.3,1.4,0.0,0.0
23,22.4,89.0,3.9,1.9,0.0,1.0
24,22.3,89.0,4.2,2.3,0.0,0.0
25,22.4,90.0,4.3,1.8,0.0,0.0
26,22.3,91.0,3.1,1.1,0.0,0.0
27,22.7,85.0,3.6,1.1,0.0,0.0
28,22.4,88.0,3.7,1.3,0.0,0.0
29,22.6,87.0,3.1,1.0,0.0,0.0
30,22.3,88.0,2.6,0.7,0.0,0.0
31,21.9,88.0,2.6,1.0,0.0,0.0
32,21.6,92.0,2.1,1.1,0.0,0.0
33,22.4,90.0,2.1,0.8,0.0,0.0
34,24.6,80.0,2.6,1.2,0.0,0.0
35,26.1,71.0,4.6,2.1,0.0,1.0
36,27.7,64.0,6.3,1.9,0.0,0.0
37,29.2,59.0,8.4,2.5,0.0,2.0
38,30.0,56.0,7.3,3.0,0.0,1.0
39,31.2,55.0,8.7,2.2,0.0,0.0
40,32.3,48.0,8.3,2.7,0.0,0.0
41,32.6,46.0,7.2,2.1,0.0,1.0
42,32.6,46.0,7.0,2.0,0.0,1.0
43,28.2,75.0,5.5,2.3,0.0,0.0
44,23.7,91.0,9.3,2.1,3.0,0.0
45,22.9,97.0,10.3,0.9,41.2,0.0
46,23.1,95.0,2.8,1.7,0.0,0.0
47,22.8,96.0,2.8,0.7,0.2,0.0
48,23.4,92.0,2.7,1.0,0.0,0.0
49,24.3,84.0,4.0,1.6,0.0,0.0
50,24.4,84.0,3.5,1.2,0.0,0.0
51,24.5,80.0,3.5,1.4,0.0,0.0
52,23.7,84.0,2.8,0.7,0.0,0.0
53,23.7,83.0,3.2,1.4,0.0,0.0
54,23.9,81.0,4.3,1.7,0.0,0.0
55,23.6,80.0,4.3,1.2,0.0,0.0
56,23.8,76.0,3.2,1.2,0.0,1.0
57,23.1,81.0,4.3,2.0,0.0,0.0
58,23.8,79.0,5.2,1.9,0.0,0.0
59,26.1,72.0,5.7,2.6,0.0,0.0
60,28.8,65.0,7.5,2.9,0.0,1.0
61,30.1,58.0,8.5,2.7,0.0,1.0
62,30.6,61.0,9.4,3.0,0.0,0.0
63,31.3,54.0,9.0,4.1,0.0,0.0
64,31.7,52.0,8.4,2.5,0.0,0.0
65,33.1,46.0,7.7,2.2,0.0,1.0
66,33.1,43.0,8.0,2.5,0.0,0.0
67,30.7,56.0,8.1,2.0,0.0,1.0
68,29.8,56.0,7.5,1.6,0.0,0.0
69,29.3,57.0,5.9,1.6,0.0,1.0
70,25.8,69.0,9.9,4.3,0.0,0.0
71,23.9,80.0,9.1,3.2,0.0,0.0
72,23.7,83.0,8.3,3.5,0.0,0.0
73,22.8,86.0,9.2,2.8,0.0,0.0
74,22.6,86.0,7.1,2.0,0.0,0.0
75,22.3,87.0,6.9,3.3,0.0,0.0
76,22.1,87.0,8.1,2.3,0.0,0.0
77,22.1,85.0,6.1,2.8,0.0,0.0
78,22.0,86.0,7.0,1.8,0.0,0.0
79,22.0,87.0,5.8,2.2,0.0,0.0
80,21.8,88.0,4.4,1.7,0.0,0.0
81,22.2,87.0,5.7,2.0,0.0,0.0
82,23.2,83.0,5.4,1.9,0.0,0.0
83,23.8,79.0,6.3,3.1,0.0,0.0
84,26.8,69.0,6.4,2.3,0.0,0.0
85,26.8,70.0,7.4,2.6,0.0,0.0
86,30.5,58.0,7.6,2.4,0.0,1.0
87,29.4,62.0,7.1,1.6,0.0,1.0
88,23.0,86.0,9.2,3.0,3.2,0.0
89,22.4,95.0,9.2,1.2,5.8,2.0
90,23.9,90.0,3.8,0.6,0.0,1.0
91,24.5,87.0,2.8,0.4,0.0,0.0
92,20.8,94.0,5.9,2.8,9.4,0.0
93,21.9,93.0,7.8,2.6,18.4,1.0
94,21.0,95.0,5.1,0.5,0.6,1.0
95,21.2,96.0,1.8,1.0,0.2,1.0
96,21.3,96.0,2.0,0.4,0.0,1.0
97,21.3,97.0,2.1,1.2,4.4,0.0
98,21.0,97.0,3.2,1.4,6.2,1.0
99,21.0,97.0,3.6,1.5,6.8,1.0
100,20.7,96.0,5.3,1.2,1.8,0.0
