Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
19.7,100.0,0.5,4.0,0.0,0.0
19.2,100.0,0.7,1.7,0.0,0.0
19.3,100.0,0.8,1.5,0.0,0.0
19.4,100.0,0.7,2.6,0.0,0.0
19.6,100.0,0.7,3.2,0.0,0.0
19.1,100.0,0.9,2.3,0.0,0.0
18.9,100.0,1.2,3.2,0.0,0.0
18.8,100.0,1.0,3.0,0.0,0.0
18.0,100.0,0.2,2.5,0.0,1.0
18.9,100.0,0.7,1.2,0.0,3.0
21.1,93.0,1.1,2.0,0.0,0.0
21.3,92.0,2.0,3.4,0.0,0.0
23.3,80.0,1.3,3.5,0.0,0.0
26.0,73.0,1.2,3.3,0.0,0.0
25.8,67.0,1.6,3.3,0.0,0.0
26.7,63.0,1.4,4.8,0.0,0.0
23.0,93.0,4.5,8.3,0.0,0.0
21.4,100.0,3.3,8.3,0.0,0.0
21.8,96.0,3.0,7.2,0.0,0.0
22.4,91.0,3.4,7.4,0.0,0.0
22.8,85.0,3.4,7.9,0.0,0.0
21.5,93.0,3.2,7.9,0.0,0.0
20.8,95.0,2.4,6.1,0.0,1.0
20.6,98.0,2.3,6.1,0.0,0.0
20.6,98.0,2.4,7.0,0.0,0.0
20.1,95.0,1.7,5.6,0.0,0.0
19.6,95.0,0.6,4.0,0.0,0.0
18.8,100.0,0.8,1.9,0.0,0.0
19.3,100.0,0.6,2.7,0.0,0.0
19.0,100.0,0.6,2.7,0.0,0.0
19.3,100.0,0.8,2.0,0.0,1.0
19.4,100.0,1.1,3.0,0.0,1.0
18.9,100.0,0.7,2.7,0.0,2.0
19.7,100.0,0.6,2.0,0.0,0.0
20.9,94.0,1.5,3.0,0.0,0.0
23.1,81.0,1.8,3.7,0.0,1.0
26.0,64.0,1.9,4.6,0.0,0.0
27.1,54.0,3.1,6.3,0.0,0.0
29.5,49.0,2.6,6.6,0.0,1.0
29.3,49.0,2.4,7.3,0.0,7.0
30.7,43.0,2.5,7.9,0.0,4.0
29.5,43.0,1.8,6.9,0.0,0.0
23.5,72.0,3.1,11.9,0.0,0.0
24.1,84.0,3.5,8.3,0.2,1.0
24.7,81.0,2.6,7.8,0.0,0.0
24.3,67.0,1.5,5.1,0.0,1.0
22.9,86.0,0.9,3.4,0.0,1.0
22.6,75.0,1.3,3.2,0.0,0.0
22.8,77.0,1.0,3.3,0.0,1.0
21.0,88.0,0.6,4.3,0.0,1.0
21.6,92.0,1.8,3.5,0.0,0.0
21.9,91.0,1.8,6.1,0.0,0.0
21.0,97.0,2.1,6.4,0.0,0.0
21.3,90.0,1.9,5.0,0.0,1.0
