Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
MB,M Boi Mirim,1,1,1.1
CL,Campo Limpo,1,1,2.0
CS,Capela do Socorro,1,1,0.3
IP,Ipiranga,1,1,0.0
JA,Jabaquara,1,1,0.1
SA,Santo Amaro,1,1,0.2
VM,Vila Mariana,1,1,0.0
PA,Parelheiros ,1,1,0.3
AD,Cidade Ademar,1,1,0.2
MB,M Boi Mirim,2,1,0.9
CL,Campo Limpo,2,1,1.1
CS,Capela do Socorro,2,1,1.2
IP,Ipiranga,2,1,0.2
JA,Jabaquara,2,1,0.4
SA,Santo Amaro,2,1,0.2
VM,Vila Mariana,2,1,0.0
PA,Parelheiros ,2,1,8.4
AD,Cidade Ademar,2,1,1.7
MB,M Boi Mirim,3,1,11.7
CL,Campo Limpo,3,1,14.8
CS,Capela do Socorro,3,1,12.9
IP,Ipiranga,3,1,3.5
JA,Jabaquara,3,1,3.4000000000000004
SA,Santo Amaro,3,1,13.9
VM,Vila Mariana,3,1,5.7
PA,Parelheiros ,3,1,5.4
AD,Cidade Ademar,3,1,11.1
MB,M Boi Mirim,4,1,26.7
CL,Campo Limpo,4,1,30.5
CS,Capela do Socorro,4,1,20.6
IP,Ipiranga,4,1,30.6
JA,Jabaquara,4,1,29.300000000000004
SA,Santo Amaro,4,1,29.4
VM,Vila Mariana,4,1,32.6
PA,Parelheiros ,4,1,30.2
AD,Cidade Ademar,4,1,26.5
MB,M Boi Mirim,5,1,9.6
CL,Campo Limpo,5,1,10.2
CS,Capela do Socorro,5,1,9.5
IP,Ipiranga,5,1,10.8
JA,Jabaquara,5,1,12.3
SA,Santo Amaro,5,1,11.5
VM,Vila Mariana,5,1,10.8
PA,Parelheiros ,5,1,11.4
AD,Cidade Ademar,5,1,11.8
MB,M Boi Mirim,6,1,5.4
CL,Campo Limpo,6,1,3.0
CS,Capela do Socorro,6,1,4.1000000000000005
IP,Ipiranga,6,1,2.6
JA,Jabaquara,6,1,1.9
SA,Santo Amaro,6,1,1.9
VM,Vila Mariana,6,1,4.4
PA,Parelheiros ,6,1,4.300000000000001
AD,Cidade Ademar,6,1,2.3
MB,M Boi Mirim,7,1,0.1
CL,Campo Limpo,7,1,0.1
CS,Capela do Socorro,7,1,0.1
IP,Ipiranga,7,1,0.4
JA,Jabaquara,7,1,0.1
SA,Santo Amaro,7,1,0.0
VM,Vila Mariana,7,1,0.2
PA,Parelheiros ,7,1,0.3
AD,Cidade Ademar,7,1,0.2
MB,M Boi Mirim,8,1,1.5
CL,Campo Limpo,8,1,1.7
CS,Capela do Socorro,8,1,1.3
IP,Ipiranga,8,1,0.4
JA,Jabaquara,8,1,0.6
SA,Santo Amaro,8,1,1.2
VM,Vila Mariana,8,1,0.4
PA,Parelheiros ,8,1,3.8
AD,Cidade Ademar,8,1,1.0
MB,M Boi Mirim,9,1,0.7000000000000001
CL,Campo Limpo,9,1,0.3
CS,Capela do Socorro,9,1,0.4
IP,Ipiranga,9,1,0.1
JA,Jabaquara,9,1,0.1
SA,Santo Amaro,9,1,0.1
VM,Vila Mariana,9,1,0.2
PA,Parelheiros ,9,1,1.8
AD,Cidade Ademar,9,1,0.1
MB,M Boi Mirim,10,1,7.4
CL,Campo Limpo,10,1,9.4
CS,Capela do Socorro,10,1,5.1000000000000005
