Cod_Bairros,Nome_Bairros,Data,Pluviometria
MB,M Boi Mirim,01-01-23,1.1
CL,Campo Limpo,01-01-23,2.0
CS,Capela do Socorro,01-01-23,0.3
IP,Ipiranga,01-01-23,0.0
JA,Jabaquara,01-01-23,0.1
SA,Santo Amaro,01-01-23,0.2
VM,Vila Mariana,01-01-23,0.0
PA,Parelheiros ,01-01-23,0.3
AD,Cidade Ademar,01-01-23,0.2
MB,M Boi Mirim,02-01-23,0.9
CL,Campo Limpo,02-01-23,1.1
CS,Capela do Socorro,02-01-23,1.2
IP,Ipiranga,02-01-23,0.2
JA,Jabaquara,02-01-23,0.4
SA,Santo Amaro,02-01-23,0.2
VM,Vila Mariana,02-01-23,0.0
PA,Parelheiros ,02-01-23,8.4
AD,Cidade Ademar,02-01-23,1.7
MB,M Boi Mirim,03-01-23,11.7
CL,Campo Limpo,03-01-23,14.8
CS,Capela do Socorro,03-01-23,12.9
IP,Ipiranga,03-01-23,3.5
JA,Jabaquara,03-01-23,3.4000000000000004
SA,Santo Amaro,03-01-23,13.9
VM,Vila Mariana,03-01-23,5.7
PA,Parelheiros ,03-01-23,5.4
AD,Cidade Ademar,03-01-23,11.1
MB,M Boi Mirim,04-01-23,26.7
CL,Campo Limpo,04-01-23,30.5
CS,Capela do Socorro,04-01-23,20.6
IP,Ipiranga,04-01-23,30.6
JA,Jabaquara,04-01-23,29.300000000000004
SA,Santo Amaro,04-01-23,29.4
VM,Vila Mariana,04-01-23,32.6
PA,Parelheiros ,04-01-23,30.2
AD,Cidade Ademar,04-01-23,26.5
MB,M Boi Mirim,05-01-23,9.6
CL,Campo Limpo,05-01-23,10.2
CS,Capela do Socorro,05-01-23,9.5
IP,Ipiranga,05-01-23,10.8
JA,Jabaquara,05-01-23,12.3
SA,Santo Amaro,05-01-23,11.5
VM,Vila Mariana,05-01-23,10.8
PA,Parelheiros ,05-01-23,11.4
AD,Cidade Ademar,05-01-23,11.8
MB,M Boi Mirim,06-01-23,5.4
CL,Campo Limpo,06-01-23,3.0
CS,Capela do Socorro,06-01-23,4.1000000000000005
IP,Ipiranga,06-01-23,2.6
JA,Jabaquara,06-01-23,1.9
SA,Santo Amaro,06-01-23,1.9
VM,Vila Mariana,06-01-23,4.4
PA,Parelheiros ,06-01-23,4.300000000000001
AD,Cidade Ademar,06-01-23,2.3
MB,M Boi Mirim,07-01-23,0.1
CL,Campo Limpo,07-01-23,0.1
CS,Capela do Socorro,07-01-23,0.1
IP,Ipiranga,07-01-23,0.4
JA,Jabaquara,07-01-23,0.1
SA,Santo Amaro,07-01-23,0.0
VM,Vila Mariana,07-01-23,0.2
PA,Parelheiros ,07-01-23,0.3
AD,Cidade Ademar,07-01-23,0.2
MB,M Boi Mirim,08-01-23,1.5
CL,Campo Limpo,08-01-23,1.7
CS,Capela do Socorro,08-01-23,1.3
IP,Ipiranga,08-01-23,0.4
JA,Jabaquara,08-01-23,0.6
SA,Santo Amaro,08-01-23,1.2
VM,Vila Mariana,08-01-23,0.4
PA,Parelheiros ,08-01-23,3.8
AD,Cidade Ademar,08-01-23,1.0
MB,M Boi Mirim,09-01-23,0.7000000000000001
CL,Campo Limpo,09-01-23,0.3
CS,Capela do Socorro,09-01-23,0.4
IP,Ipiranga,09-01-23,0.1
JA,Jabaquara,09-01-23,0.1
SA,Santo Amaro,09-01-23,0.1
VM,Vila Mariana,09-01-23,0.2
PA,Parelheiros ,09-01-23,1.8
AD,Cidade Ademar,09-01-23,0.1
MB,M Boi Mirim,10-01-23,7.4
CL,Campo Limpo,10-01-23,9.4
CS,Capela do Socorro,10-01-23,5.1000000000000005
IP,Ipiranga,10-01-23,9.6
JA,Jabaquara,10-01-23,7.899999999999999
SA,Santo Amaro,10-01-23,9.8
VM,Vila Mariana,10-01-23,10.2
PA,Parelheiros ,10-01-23,6.0
AD,Cidade Ademar,10-01-23,7.6
MB,M Boi Mirim,11-01-23,10.0
